Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,wSR Against,cAA,cAA+,,,,,,,,,
A Ashok,18,2,22,9,82,-71,13,45,235,14,222,16.79,106,-0.3,24.68,132,,,,,,,,,
A Ndlovu,2,1,4,2,50,-199,-3,-50,90,1,66,90,136,0.29,38.42,85,,,,,,,,,
Aadil Ali,156,10,146,15.6,107,-34,143,73,92,4,72,23,128,-0.04,30.98,105,,,,,,,,,
Aamer Azmat,43,3,34,14.33,126,-25,36,79,2,0,6,-,33,-0.61,21,155,,,,,,,,,
Aamer Yamin,137,11,105,12.45,130,-32,105,74,565,18,409,31.39,138,0.12,36.54,89,,,,,,,,,
Aarish Ali,0,1,1,0,0,-703,-6,-426,63,4,42,15.75,150,-0.06,30.66,106,,,,,,,,,
Aaron Beard,31,2,21,15.5,148,-10,26,91,312,17,228,18.35,137,-0.06,32.28,101,,,,,,,,,
Aaron Finch,5073,156,3544,32.52,143,18,5292,111,34,0,24,-,142,0.41,41.29,79,,,,,,,,,
Aaron Hardie,267,13,198,20.54,135,-5,251,94,478,15,330,31.87,145,0.18,36.72,89,,,,,,,,,
Aaron Thomason,299,15,224,19.93,133,-7,278,93,527,24,312,21.96,169,0.22,39.74,82,,,,,,,,,
AB de Villiers,2903,68,1876,42.69,155,33,3087,123,0,0,0,-,-,-,-,-,,,,,,,,,
Abbas Afridi,33,1,23,33,143,19,35,112,216,7,150,30.86,144,0.17,37.64,87,,,,,,,,,
Abdul Bangalzai,14,1,13,14,108,-38,12,70,0,0,0,-,-,-,-,-,,,,,,,,,
Abdul Nasir,1,1,4,1,25,-221,-4,-67,41,1,42,41,98,-0.15,28.06,116,,,,,,,,,
Abdul Samad,226,16,159,14.12,142,-18,180,84,108,2,54,54,200,0.76,52.03,63,,,,,,,,,
Abdullah Shafique,292,13,233,22.46,125,-7,290,93,0,0,0,-,-,-,-,-,,,,,,,,,
Abhijeet Tomar,4,1,8,4,50,-119,1,9,0,0,0,-,-,-,-,-,,,,,,,,,
Abhinav Manohar,108,6,75,18,144,-3,96,96,0,0,0,-,-,-,-,-,,,,,,,,,
Abhishek Sharma,666,29,492,22.97,135,1,652,99,207,7,156,29.57,133,0.06,33.92,96,,,,,,,,,
Abrar Ahmed,0,0,0,-,-,-,-,-,103,3,78,34.33,132,0.1,34.04,96,,,,,,,,,
Abu Hider,44,0,33,-,133,36,55,125,188,2,132,94,142,0.35,42.27,77,,,,,,,,,
Abu Jayed,3,2,7,1.5,43,-227,-7,-71,102,4,66,25.5,155,0.2,37.7,86,,,,,,,,,
Abul Hasan,5,1,3,5,167,-135,0,-3,37,2,18,18.5,206,0.38,43.33,75,,,,,,,,,
AC Lenham,15,1,34,15,44,-69,21,47,379,12,282,31.58,134,0.09,34,96,,,,,,,,,
Adam Finch,9,1,15,9,60,-76,8,42,175,7,114,25,154,0.18,37.98,86,,,,,,,,,
Adam Hickey,25,3,25,8.33,100,-69,16,46,11,1,18,11,61,-0.69,14.93,218,,,,,,,,,
Adam Hose,2052,57,1362,36,151,26,2148,117,0,0,0,-,-,-,-,-,,,,,,,,,
Adam Lyth,2240,66,1412,33.94,159,31,2298,121,491,19,384,25.84,128,-0.01,32.61,100,,,,,,,,,
Adam Milne,179,17,150,10.53,119,-49,124,61,1659,75,1378,22.12,120,-0.1,30.56,107,,,,,,,,,
Adam Rossington,1105,45,757,24.56,146,11,1080,106,0,0,0,-,-,-,-,-,,,,,,,,,
Adam Voges,257,7,206,36.71,125,4,280,101,37,1,24,37,154,0.3,38.65,84,,,,,,,,,
Adam Wheater,805,38,604,21.18,133,-4,771,95,0,0,0,-,-,-,-,-,,,,,,,,,
Adam Zampa,137,21,162,6.52,85,-91,65,30,3400,154,2826,22.08,120,-0.11,29.12,112,,,,,,,,,
Adil Amin,3,1,5,3,60,-159,-1,-20,0,0,0,-,-,-,-,-,,,,,,,,,
Adil Rashid,109,11,96,9.91,114,-55,73,57,1997,93,1676,21.47,119,-0.13,28.83,113,,,,,,,,,
Aditya Tare,18,3,23,6,78,-96,8,26,0,0,0,-,-,-,-,-,,,,,,,,,
Afif Hossain,433,25,393,17.32,110,-26,413,78,156,8,120,19.5,130,-0.09,30.27,108,,,,,,,,,
Aftab Alam,1,2,4,0.5,25,-374,-10,-181,93,2,84,46.5,111,-0.01,31.92,102,,,,,,,,,
AG Cremer,3,1,9,3,33,-129,0,2,38,2,36,19,106,-0.26,25.42,128,,,,,,,,,
AGH Orr,152,7,94,21.71,162,17,140,111,0,0,0,-,-,-,-,-,,,,,,,,,
Agha Salman,219,13,219,16.85,100,-33,215,73,33,0,25,-,132,0.34,39.82,82,,,,,,,,,
Ahmed Daniyal,11,1,22,11,50,-72,13,44,402,11,270,36.55,149,0.25,39.01,84,,,,,,,,,
Ahmed Safi Abdullah,9,0,13,-,69,-26,14,79,65,4,48,16.25,135,-0.14,28.2,116,,,,,,,,,
Ahmed Shehzad,990,41,884,24.15,112,-14,1041,88,0,0,0,-,-,-,-,-,,,,,,,,,
Ahsan Ali,480,18,374,26.67,128,1,496,99,9,1,6,9,150,-0.51,19.25,169,,,,,,,,,
Aiden Blizzard,20,3,24,6.67,83,-89,10,32,0,0,0,-,-,-,-,-,,,,,,,,,
Aiden Markram,1100,27,780,40.74,141,21,1189,113,209,6,168,34.83,124,0.05,34.4,95,,,,,,,,,
Aizaz Cheema,0,0,0,-,-,-,-,-,27,0,18,-,150,0.52,45.27,72,,,,,,,,,
AJ Hosein,66,1,48,66,138,26,76,118,407,18,354,22.61,115,-0.14,29.09,112,,,,,,,,,
Ajaz Patel,94,11,100,8.55,94,-70,61,45,1380,63,1076,21.9,128,-0.05,31.01,105,,,,,,,,,
Ajinkya Rahane,1354,56,1124,24.18,120,-8,1390,92,0,0,0,-,-,-,-,-,,,,,,,,,
AK Perera,40,3,47,13.33,85,-53,37,59,0,0,0,-,-,-,-,-,,,,,,,,,
AK Russell,0,0,0,-,-,-,-,-,27,1,24,27,112,-0.12,28.79,113,,,,,,,,,
Akash Deep,0,1,2,0,0,-397,-5,-198,199,6,113,33.17,176,0.44,43.44,75,,,,,,,,,
Akash Singh,0,0,0,-,-,-,-,-,39,0,24,-,162,0.64,46.82,70,,,,,,,,,
Akif Javed,0,0,2,-,0,-91,1,30,250,11,198,22.73,126,-0.05,32,102,,,,,,,,,
Akila Dananjaya,49,6,50,8.17,98,-72,30,44,770,21,550,36.67,140,0.18,36.59,89,,,,,,,,,
Akshdeep Nath,70,7,71,10,99,-59,52,54,0,0,0,-,-,-,-,-,,,,,,,,,
AL Phehlukwayo,121,14,106,8.64,114,-64,72,50,742,37,562,20.05,132,-0.07,31.19,105,,,,,,,,,
Al-Amin Hossain,0,0,0,-,-,-,-,-,136,4,138,34,99,-0.16,27.97,117,,,,,,,,,
Alex Blake,951,47,678,20.23,140,-1,884,97,84,1,72,84,117,0.1,34.56,94,,,,,,,,,
Alex Carey,2086,77,1637,27.09,127,1,2163,98,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Davies,1549,54,1217,28.69,127,2,1624,99,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Doolan,254,10,223,25.4,114,-11,269,90,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Hales,4549,139,2918,32.73,156,28,4668,119,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Hepburn,25,2,28,12.5,89,-51,23,60,107,6,75,17.83,143,-0.06,30.39,107,,,,,,,,,
Alex Horton,0,1,3,0,0,-295,-5,-122,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Hughes,556,28,429,19.86,130,-9,526,91,1155,36,852,32.08,136,0.11,35.05,93,,,,,,,,,
Alex Lees,532,15,443,35.47,120,1,587,99,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Mellor,10,3,19,3.33,53,-140,-2,-6,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Ross,1056,32,867,33,122,1,1145,98,0,0,0,-,-,-,-,-,,,,,,,,,
Alex Thomson,72,5,49,14.4,147,-16,57,86,396,15,288,26.4,138,0.07,33.9,96,,,,,,,,,
Alex Wakely,684,31,622,22.06,110,-19,700,84,0,0,0,-,-,-,-,-,,,,,,,,,
Ali Khan,0,0,0,-,-,-,-,-,99,3,68,33,146,0.21,39.09,83,,,,,,,,,
Ali Majid,0,0,0,-,-,-,-,-,31,0,24,-,129,0.31,41.07,79,,,,,,,,,
Ali Shafiq,0,0,0,-,-,-,-,-,84,5,75,16.8,112,-0.26,26.37,124,,,,,,,,,
Alzarri Joseph,20,1,20,20,100,-28,21,77,341,14,232,24.36,147,0.12,35.39,92,,,,,,,,,
AM McCarthy,5,1,8,5,62,-111,2,16,12,0,12,-,100,0.02,32.08,102,,,,,,,,,
AM Phangiso,13,1,19,13,68,-60,14,53,96,3,78,32,123,0,32.29,101,,,,,,,,,
Amad Butt,119,8,80,14.88,149,-11,96,90,537,19,356,28.26,151,0.19,37.54,87,,,,,,,,,
Aman Hakim Khan,5,1,3,5,167,-135,0,-3,13,0,6,-,217,1.16,59.32,55,,,,,,,,,
Ambati Rayudu,1847,59,1449,31.31,127,4,1970,101,0,0,0,-,-,-,-,-,,,,,,,,,
Aminul Islam,35,2,41,17.5,85,-41,37,68,235,13,188,18.08,125,-0.16,28.09,116,,,,,,,,,
Amir Hamza,21,1,17,21,124,-11,20,89,182,9,174,20.22,105,-0.24,25.74,127,,,,,,,,,
Amit Mishra,71,3,78,23.67,91,-30,80,76,1078,43,875,25.07,123,-0.05,30.69,106,,,,,,,,,
Anamul Haque,3,1,9,3,33,-129,0,2,0,0,0,-,-,-,-,-,,,,,,,,,
Anaru Kitchen,762,39,589,19.54,129,-10,718,91,926,24,738,38.58,125,0.07,34.57,94,,,,,,,,,
Andre Fletcher,592,30,502,19.73,118,-16,582,86,8,0,6,-,133,0.36,40.2,81,,,,,,,,,
Andre Russell,1895,65,1060,29.15,179,42,1842,129,2101,86,1366,24.43,154,0.16,36.54,89,,,,,,,,,
Andrew Ellis,248,12,229,20.67,108,-21,252,82,558,28,409,19.93,136,-0.05,32.32,101,,,,,,,,,
Andrew Fekete,1,1,7,1,14,-165,-2,-25,101,4,66,25.25,153,0.15,35.79,91,,,,,,,,,
Andrew Salter,277,22,228,12.59,121,-36,217,71,1363,51,1020,26.73,134,0.04,32.93,99,,,,,,,,,
Andrew Tye,429,32,323,13.41,133,-26,340,78,3813,213,2934,17.9,130,-0.13,29.74,110,,,,,,,,,
Andy Balbirnie,597,27,467,22.11,128,-6,586,93,0,0,0,-,-,-,-,-,,,,,,,,,
Andy Carter,0,0,0,-,-,-,-,-,72,1,42,72,171,0.57,48.21,68,,,,,,,,,
Aneurin Donald,568,33,423,17.21,134,-11,508,89,0,0,0,-,-,-,-,-,,,,,,,,,
Angelo Mathews,187,11,174,17,107,-29,178,76,232,2,152,116,153,0.46,42.88,76,,,,,,,,,
