Name,Runs,Wickets,Balls Faced,Average,Strike Rate,wSR,wRC,wRC+,Runs Against,Wickets Taken,Balls Bowled,Bowling Average,Strike Rate Against,Bowling wSR,cAA,cAA+
A Bosch,120,10,114,12,105,-21,98,77,138,7,126,19.71,110,0.01,26.04,103
A Day,9,1,5,9,180,-15,5,83,0,0,0,-,-,-,-,-
A Gardner,2053,92,1677,22.32,122,14,2028,109,1659,70,1446,23.7,115,0.09,28.32,95
A Genford,8,1,12,8,67,-58,6,44,0,0,0,-,-,-,-,-
A Hartley,4,1,8,4,50,-96,1,10,343,7,262,49,131,0.37,34.9,77
A Khaka,25,4,41,6.25,61,-69,15,34,393,17,397,23.12,99,-0.02,26.3,102
A King,332,24,328,13.83,101,-19,290,79,1306,66,1183,19.79,110,0.01,26.15,103
A Lanning,258,15,278,17.2,93,-14,258,83,0,0,0,-,-,-,-,-
A Learoyd,91,6,116,15.17,78,-28,92,71,30,0,12,-,250,1.67,67.77,40
A Mohammed,20,3,38,6.67,53,-67,15,36,441,18,408,24.5,108,0.05,27.52,98
A O'Neil,2,1,5,2,40,-146,-2,-35,0,0,0,-,-,-,-,-
A Price,73,6,79,12.17,92,-28,62,71,486,19,403,25.58,121,0.15,29.77,90
A Reddy,71,10,82,7.1,87,-59,40,43,527,18,425,29.28,124,0.22,31.49,85
A Shrubsole,74,7,72,10.57,103,-30,55,69,746,42,750,17.76,99,-0.09,25.76,104
A Smith,39,4,58,9.75,67,-49,34,52,361,12,314,30.08,115,0.14,31.08,86
A Sutherland,546,35,570,15.6,96,-17,516,81,1026,44,949,23.32,108,0.04,28.55,94
A Yates,29,3,25,9.67,116,-30,19,69,0,0,0,-,-,-,-,-
AA Alleyne,45,4,60,11.25,75,-38,41,62,176,7,144,25.14,122,0.18,31.75,85
AA Patil,117,8,94,14.62,124,-2,99,95,454,21,440,21.62,103,-0.02,25.75,104
AC Jayangani,885,39,845,22.69,105,2,921,98,545,24,424,22.71,129,0.17,31.12,86
AE Jones,1480,64,1265,23.12,117,10,1486,105,0,0,0,-,-,-,-,-
AG Gerken,0,2,4,0,0,-352,-10,-220,0,0,0,-,-,-,-,-
Aiman Anwer,14,3,25,4.67,56,-88,5,17,365,16,312,22.81,117,0.1,28.8,93
